n,sigma,auction_abs_gap,auction_signed_gap,otc_abs_gap,top_decile_hit,welfare_ratio,auction_price_sd,otc_price_sd
2,0.040000,0.014804,-0.014785,0.011724,0.630400,0.630400,0.006124,0.004117
5,0.040000,0.010669,-0.010644,0.011751,0.369600,0.683325,0.004230,0.004234
10,0.040000,0.009244,-0.009216,0.011782,0.246400,0.697579,0.003600,0.004213
25,0.040000,0.008013,-0.007992,0.011837,0.266000,0.705407,0.003095,0.004241
50,0.040000,0.007225,-0.007210,0.011850,0.354000,0.707387,0.002819,0.004119
100,0.040000,0.006698,-0.006677,0.011795,0.395600,0.707636,0.002561,0.004241
